Angle,Pressure
-360,2.598655914
-359,2.598991935
-358,2.600672043
-357,2.590591398
-356,2.578629032
-355,2.552419355
-354,2.515053763
-353,2.457795699
-352,2.393010753
-351,2.31061828
-350,2.221370968
-349,2.116935484
-348,2.011021505
-347,1.895698925
-346,1.785080645
-345,1.670833333
-344,1.566801075
-343,1.466801075
-342,1.382123656
-341,1.304704301
-340,1.246370968
-339,1.196774194
-338,1.161962366
-337,1.133198925
-336,1.115994624
-335,1.099462366
-334,1.090591398
-333,1.079569892
-332,1.074596774
-331,1.06827957
-330,1.066935484
-329,1.06344086
-328,1.065994624
-327,1.065188172
-326,1.067741935
-325,1.066263441
-324,1.068413978
-323,1.065860215
-322,1.066666667
-321,1.063037634
-320,1.0625
-319,1.057258065
-318,1.055913978
-317,1.050403226
-316,1.047311828
-315,1.042069892
-314,1.040456989
-313,1.035887097
-312,1.03561828
-311,1.032258065
-310,1.032392473
-309,1.029973118
-308,1.030645161
-307,1.028360215
-306,1.030913978
-305,1.030376344
-304,1.032795699
-303,1.031586022
-302,1.033333333
-301,1.031451613
-300,1.03266129
-299,1.030510753
-298,1.032526882
-297,1.030241935
-296,1.03172043
-295,1.029301075
-294,1.03077957
-293,1.028629032
-292,1.031182796
-291,1.029973118
-290,1.032123656
-289,1.030645161
-288,1.032526882
-287,1.030510753
-286,1.032392473
-285,1.031317204
-284,1.033064516
-283,1.03172043
-282,1.033602151
-281,1.031182796
-280,1.032258065
-279,1.030913978
-278,1.032258065
-277,1.029973118
-276,1.03172043
-275,1.028897849
-274,1.029973118
-273,1.027419355
-272,1.027688172
-271,1.024865591
-270,1.025
-269,1.020564516
-268,1.018951613
-267,1.014650538
-266,1.012903226
-265,1.008198925
-264,1.006586022
-263,1.002822581
-262,1.003360215
-261,1.000672043
-260,1.002150538
-259,1.001344086
-258,1.004301075
-257,1.003763441
-256,1.006989247
-255,1.008736559
-254,1.01344086
-253,1.015053763
-252,1.020698925
-251,1.023252688
-250,1.028225806
-249,1.030913978
-248,1.036290323
-247,1.038575269
-246,1.044489247
-245,1.047715054
-244,1.053091398
-243,1.056048387
-242,1.062231183
-241,1.065725806
-240,1.071102151
